LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,,TOTAL ELECTORS,,,2075,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,ALLIANCE - MCA,ABDUL AZIZ BIN HAJI MAT JABOR,MALE,,1097,WON,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,ALLIANCE - MCA,NG HOE KHENG,MALE,,1042,WON,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,ALLIANCE - UMNO,ADNAN BIN ABDUL SAMAD,MALE,,1008,WON,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,NAP,VENGADASALAM P.,MALE,,218,LOST,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,NAP,KAMARIAH I. RASHID,FEMALE,,198,LOST,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,LABOUR,T. C. WONG,MALE,,160,LOST,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,NAP,ABDUL KADIR HUSSIN,MALE,,96,LOST DEPOSIT,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,,TOTAL REJECTED BALLOT PAPERS,,,14,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,1311,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BOOKS,,,479,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,,TOTAL SPOILED BALLOT PAPERS,,,10,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,1800,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,,TOTAL ELECTORS,,,1556,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,ALLIANCE - MCA,WAH KENG JOOI,MALE,,831,WON,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,ALLIANCE - MCA,WOO SAIK HONG,MALE,,805,WON,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,ALLIANCE - UMNO,MOHAMED YAHYA BIN HAJI ABD. HAMID,MALE,,763,WON,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,NAP,OON SENG TEONG,MALE,,136,LOST,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,NAP,ONG TEIK SIM,MALE,,86,LOST DEPOSIT,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,NAP,HAJI YAHYA BIN HAJI SHAHBUDIN,MALE,,54,LOST DEPOSIT,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,,TOTAL REJECTED BALLOT PAPERS,,,4,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,904,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BOOKS,,,196,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,,TOTAL SPOILED BALLOT PAPERS,,,0,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,1100,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,,TOTAL ELECTORS,,,1043,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,ALLIANCE - MCA,SAW BENG KUAN,MALE,,932,WON,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,ALLIANCE - UMNO,AHMAD BIN MOHAMED JABOR,MALE,,915,WON,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,ALLIANCE - UMNO,AHMAD TAJUDDIN BIN HAJI BAHARUDIN,MALE,,914,WON,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,NAP,DR. J.T. PARANJOTHY,MALE,,105,LOST DEPOSIT,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,NAP,TAN KANG CHOON,MALE,,73,LOST DEPOSIT,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,NAP,H.A. ZULKIFLI,MALE,,60,LOST DEPOSIT,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,,TOTAL REJECTED BALLOT PAPERS,,,7,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,998,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BOOKS,,,293,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,,TOTAL SPOILED BALLOT PAPERS,,,9,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,1300,,
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,,TOTAL ELECTORS,,,1175,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,ALLIANCE - MCA,TOO JOON HING,MALE,42,1829,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,PPP,SUBRAMANIAM NALLIAH,MALE,37,1814,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,ALLIANCE - UMNO,AHMAD SHAM BIN HAJI YUNUS,MALE,39,1781,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,NAP,WOO KA LIM,MALE,45,299,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,NAP,FOO FOON CHIN,MALE,52,291,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,NAP,C.M. YUSUF,MALE,46,233,LOST DEPOSIT,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,PERAK MIC,M. RAMANAND,MALE,41,118,LOST DEPOSIT,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,PERAK MIC,HAZARA SINGH,MALE,52,63,LOST DEPOSIT,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL REJECTED BALLOT PAPERS,,,27,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,2243,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM THE BOOKS,,,951,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL SPOILED BALLOT PAPERS,,,6,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,3200,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL ELECTORS,,,2977,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,ALLIANCE - MCA,YAP YIN FAH,MALE,32,1034,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,ALLIANCE - MCA,CHONG HONG CHEW,MALE,30,1014,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,ALLIANCE - UMNO,MAT AJI BIN HAJI JAMIN,MALE,40,992,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,NAP,LEE KOON VOON,MALE,49,264,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,NAP,YIM KWONG CHEE,MALE,54,260,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,NAP,HAROUN BIN MOHD. MINA,MALE,30,252,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL REJECTED BALLOT PAPERS,,,17,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,1318,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM THE BOOKS,,,470,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL SPOILED BALLOT PAPERS,,,12,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,1800,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,,TOTAL ELECTORS,,,1682,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,ALLIANCE - MCA,KOK YOON SAN,MALE,59,1511,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,ALLIANCE - UMNO,ISMAIL BIN ABDUL MAJID,MALE,40,1501,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,ALLIANCE - UMNO,MOHD. ALI BIN PITCHAY,MALE,36,1458,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,NAP,LAILY MARIAM BINTI SULAIMAN,FEMALE,36,477,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,NAP,MOHD. BASIR BIN MD. SHARIFF,MALE,56,327,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,NAP,CHONG WAI WENG,MALE,56,320,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL REJECTED BALLOT PAPERS,,,22,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,1937,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM THE BOOKS,,,750,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL SPOILED BALLOT PAPERS,,,13,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,2700,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,,TOTAL ELECTORS,,,2489,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,PPP,D.R. SEENIVASAGAM,MALE,32,2084,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,ALLIANCE - MCA,YEOH CHEANG KANG,MALE,50,1976,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,ALLIANCE - MCA,C.H. YIN,MALE,53,1924,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,NAP,CHIN SWEE ONN,MALE,41,617,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,NAP,GOH SIEW HOCK,MALE,56,566,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,NAP,LEAN CHOR KOW,MALE,53,494,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL REJECTED BALLOT PAPERS,,,27,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,2578,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM THE BOOKS,,,816,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL SPOILED BALLOT PAPERS,,,6,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,3400,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL ELECTORS,,,3185,,
