LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TELUK ANSON TOWN COUNCIL,DENISON ROAD,,KITE,WAH KENG JOOI
TELUK ANSON TOWN COUNCIL,DENISON ROAD,,KEY,WOO SAIK HONG
TELUK ANSON TOWN COUNCIL,DENISON ROAD,,HAND WITH INDEX FINGER POINTING,MOHAMED YAHYA BIN HAJI ABD. HAMID
TELUK ANSON TOWN COUNCIL,DENISON ROAD,,WALKING CANE,OON SENG TEONG
TELUK ANSON TOWN COUNCIL,DENISON ROAD,,ELEPHANT,ONG TEIK SIM
TELUK ANSON TOWN COUNCIL,DENISON ROAD,,TRUMPET,HAJI YAHYA BIN HAJI SHAHBUDIN
TELUK ANSON TOWN COUNCIL,PASIR BEDAMAR,,BICYCLE,SAW BENG KUAN
TELUK ANSON TOWN COUNCIL,PASIR BEDAMAR,,COMB,AHMAD BIN MOHAMED JABOR
TELUK ANSON TOWN COUNCIL,PASIR BEDAMAR,,SAW,AHMAD TAJUDDIN BIN HAJI BAHARUDIN
TELUK ANSON TOWN COUNCIL,PASIR BEDAMAR,,CAR,DR. J.T. PARANJOTHY
TELUK ANSON TOWN COUNCIL,PASIR BEDAMAR,,SPECTACLES,TAN KANG CHOON
TELUK ANSON TOWN COUNCIL,PASIR BEDAMAR,,LAMP,H.A. ZULKIFLI
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,KETTLE,TOO JOON HING
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,CAMEL,SUBRAMANIAM NALLIAH
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,RICKSHAW,AHMAD SHAM BIN HAJI YUNUS
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,CLOCK,WOO KA LIM
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,GUN,FOO FOON CHIN
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,AXE,C.M. YUSUF
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,LION,M. RAMANAND
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,CUP,HAZARA SINGH
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,HOUSE,YAP YIN FAH
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,SHIP,CHONG HONG CHEW
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,GRAPES,MAT AJI BIN HAJI JAMIN
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,LAMP,LEE KOON VOON
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,KEY,YIM KWONG CHEE
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,TABLE,HAROUN BIN MOHD. MINA
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,BRIDGE,KOK YOON SAN
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,TREE,ISMAIL BIN ABDUL MAJID
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,TANK,MOHD. ALI BIN PITCHAY
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,FLOWER,LAILY MARIAM BINTI SULAIMAN
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,BELL,MOHD. BASIR BIN MD. SHARIFF
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,GRAMOPHONE,CHONG WAI WENG
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,CAR,D.R. SEENIVASAGAM
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,SCISSORS,YEOH CHEANG KANG
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,TRAIN,C.H. YIN
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,TELEPHONE,CHIN SWEE ONN
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,BALL,GOH SIEW HOCK
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,MOON,LEAN CHOR KOW
