LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
SUNGEI BULOH LOCAL COUNCIL,HULU WARD,TOTAL ELECTORATE,,,,,,
SUNGEI BULOH LOCAL COUNCIL,HULU WARD,TURNOUT (%),,,,,,
SUNGEI BULOH LOCAL COUNCIL,SUNGEI BULOH TENGAH WARD,ALLIANCE - UMNO,ADNAN BIN AHMAD,MALE,,,WON,Y
SUNGEI BULOH LOCAL COUNCIL,SUNGEI BULOH TENGAH WARD,ALLIANCE - UMNO,KITAN BIN AWANG,MALE,,,WON,Y
SUNGEI BULOH LOCAL COUNCIL,SUNGEI BULOH TENGAH WARD,REJECTED BALLOT PAPERS,,,,,,
SUNGEI BULOH LOCAL COUNCIL,SUNGEI BULOH TENGAH WARD,TOTAL BALLOTS ISSUED,,,,,,
SUNGEI BULOH LOCAL COUNCIL,SUNGEI BULOH TENGAH WARD,TOTAL ELECTORATE,,,,,,
SUNGEI BULOH LOCAL COUNCIL,SUNGEI BULOH TENGAH WARD,TURNOUT (%),,,,,,
SUNGEI BULOH LOCAL COUNCIL,SEKOLAH WARD,ALLIANCE - UMNO,JAAFAR BIN HASHIM,MALE,,,WON,Y
SUNGEI BULOH LOCAL COUNCIL,SEKOLAH WARD,ALLIANCE - UMNO,MOHAYAN BIN HJ. MD. SALLEH,MALE,,,WON,Y
SUNGEI BULOH LOCAL COUNCIL,SEKOLAH WARD,REJECTED BALLOT PAPERS,,,,,,
SUNGEI BULOH LOCAL COUNCIL,SEKOLAH WARD,TOTAL BALLOTS ISSUED,,,,,,
SUNGEI BULOH LOCAL COUNCIL,SEKOLAH WARD,TOTAL ELECTORATE,,,,,,
SUNGEI BULOH LOCAL COUNCIL,SEKOLAH WARD,TURNOUT (%),,,,,,
SUNGEI BULOH LOCAL COUNCIL,HILIR WARD,ALLIANCE - UMNO,AHMAD BIN MAAMIN,MALE,,,WON,Y
SUNGEI BULOH LOCAL COUNCIL,HILIR WARD,ALLIANCE - UMNO,MUDA BIN ALI,MALE,,,WON,Y
SUNGEI BULOH LOCAL COUNCIL,HILIR WARD,REJECTED BALLOT PAPERS,,,,,,
SUNGEI BULOH LOCAL COUNCIL,HILIR WARD,TOTAL BALLOTS ISSUED,,,,,,
SUNGEI BULOH LOCAL COUNCIL,HILIR WARD,TOTAL ELECTORATE,,,,,,
SUNGEI BULOH LOCAL COUNCIL,HILIR WARD,TURNOUT (%),,,,,,
PERTANG LOCAL COUNCIL,PERTANG SELATAN WARD,ALLIANCE - MCA,CHENG LAI SAI,,,66,WON,
PERTANG LOCAL COUNCIL,PERTANG SELATAN WARD,SF,CHEN KIEW,,,47,LOST,
PERTANG LOCAL COUNCIL,PERTANG SELATAN WARD,SF,SIOW THIAM,,,46,LOST,
PERTANG LOCAL COUNCIL,PERTANG SELATAN WARD,SF,YAP CHONG,,,51,LOST,
PERTANG LOCAL COUNCIL,PERTANG SELATAN WARD,ALLIANCE - MCA,HOO TIAM,,,59,WON,
PERTANG LOCAL COUNCIL,PERTANG SELATAN WARD,ALLIANCE - MCA,CHIN SIP,,,64,WON,
PERTANG LOCAL COUNCIL,PERTANG SELATAN WARD,REJECTED BALLOT PAPERS,,,,3,,
PERTANG LOCAL COUNCIL,PERTANG SELATAN WARD,TOTAL BALLOTS ISSUED,,,,,,
PERTANG LOCAL COUNCIL,PERTANG SELATAN WARD,TOTAL ELECTORATE,,,,135,,
PERTANG LOCAL COUNCIL,PERTANG SELATAN WARD,TURNOUT (%),,,,82.96,,
PERTANG LOCAL COUNCIL,PEKAN PERTANG WARD,INDEPENDENT,LEW KON NYAM,,,109,WON,
PERTANG LOCAL COUNCIL,PEKAN PERTANG WARD,ALLIANCE - MCA,SIOW YIT FA,,,132,WON,
PERTANG LOCAL COUNCIL,PEKAN PERTANG WARD,ALLIANCE - MCA,YEE KONG FO,,,126,WON,
PERTANG LOCAL COUNCIL,PEKAN PERTANG WARD,INDEPENDENT,CHIN FATT,,,74,LOST,
PERTANG LOCAL COUNCIL,PEKAN PERTANG WARD,SF,YAP FAH MEW,,,46,LOST,
PERTANG LOCAL COUNCIL,PEKAN PERTANG WARD,ALLIANCE - MCA,SIOW SWEE SAN,,,95,LOST,
PERTANG LOCAL COUNCIL,PEKAN PERTANG WARD,REJECTED BALLOT PAPERS,,,,3,,
PERTANG LOCAL COUNCIL,PEKAN PERTANG WARD,TOTAL BALLOTS ISSUED,,,,,,
PERTANG LOCAL COUNCIL,PEKAN PERTANG WARD,TOTAL ELECTORATE,,,,267,,
PERTANG LOCAL COUNCIL,PEKAN PERTANG WARD,TURNOUT (%),,,,73,,
PERTANG LOCAL COUNCIL,PERTANG TIMOR WARD,ALLIANCE - MCA,CHEAH SWI SANG,,,,WON,Y
PERTANG LOCAL COUNCIL,PERTANG TIMOR WARD,ALLIANCE - MCA,HO AH LEONG,,,,WON,Y
PERTANG LOCAL COUNCIL,PERTANG TIMOR WARD,ALLIANCE - MCA,WOO KONG,,,,WON,Y
PERTANG LOCAL COUNCIL,PERTANG TIMOR WARD,REJECTED BALLOT PAPERS,,,,,,
PERTANG LOCAL COUNCIL,PERTANG TIMOR WARD,TOTAL BALLOTS ISSUED,,,,,,
PERTANG LOCAL COUNCIL,PERTANG TIMOR WARD,TOTAL ELECTORATE,,,,,,
PERTANG LOCAL COUNCIL,PERTANG TIMOR WARD,TURNOUT (%),,,,,,
BAHAU LOCAL COUNCIL,GURNEY WARD,ALLIANCE - MCA,LIM KUNG SWEE,,,451,WON,
BAHAU LOCAL COUNCIL,GURNEY WARD,ALLIANCE - MCA,CHENG HOW HEN,,,432,WON,
BAHAU LOCAL COUNCIL,GURNEY WARD,ALLIANCE - MCA,LIM AH HEE,,,422,WON,
BAHAU LOCAL COUNCIL,GURNEY WARD,SF,POH KUN TAI,,,114,LOST,
BAHAU LOCAL COUNCIL,GURNEY WARD,SF,HEW SANG,,,91,LOST,
BAHAU LOCAL COUNCIL,GURNEY WARD,SF,CHIN LAN,,,79,LOST,
BAHAU LOCAL COUNCIL,GURNEY WARD,REJECTED BALLOT PAPERS,,,,17,,
BAHAU LOCAL COUNCIL,GURNEY WARD,TOTAL BALLOTS ISSUED,,,,,,
BAHAU LOCAL COUNCIL,GURNEY WARD,TOTAL ELECTORATE,,,,792,,
BAHAU LOCAL COUNCIL,GURNEY WARD,TURNOUT (%),,,,69.15,,
BAHAU LOCAL COUNCIL,CHU WARD,ALLIANCE - MCA,LEE HAK KHEE,,,319,WON,
BAHAU LOCAL COUNCIL,CHU WARD,ALLIANCE - MCA,CHUA SOU WEN,,,294,WON,
BAHAU LOCAL COUNCIL,CHU WARD,ALLIANCE - MCA,LIM KOK TIONG,,,310,WON,
BAHAU LOCAL COUNCIL,CHU WARD,REJECTED BALLOT PAPERS,,,,22,,
BAHAU LOCAL COUNCIL,CHU WARD,TOTAL BALLOTS ISSUED,,,,,,
BAHAU LOCAL COUNCIL,CHU WARD,TOTAL ELECTORATE,,,,746,,
BAHAU LOCAL COUNCIL,CHU WARD,TURNOUT (%),,,,69.28,,
BAHAU LOCAL COUNCIL,KAMPONG CHINA WARD,ALLIANCE - MCA,CHUA FATT,,,278,WON,
BAHAU LOCAL COUNCIL,KAMPONG CHINA WARD,ALLIANCE - MCA,TEO ENG HOON,,,264,WON,
BAHAU LOCAL COUNCIL,KAMPONG CHINA WARD,ALLIANCE - MCA,THAM CHOW,,,273,WON,
BAHAU LOCAL COUNCIL,KAMPONG CHINA WARD,SF,WONG KONG HON,,,182,LOST,
BAHAU LOCAL COUNCIL,KAMPONG CHINA WARD,SF,LIANG KUANG,,,170,LOST,
BAHAU LOCAL COUNCIL,KAMPONG CHINA WARD,SF,HIEW SUNG FATT,,,164,LOST,
BAHAU LOCAL COUNCIL,KAMPONG CHINA WARD,REJECTED BALLOT PAPERS,,,,16,,
BAHAU LOCAL COUNCIL,KAMPONG CHINA WARD,TOTAL BALLOTS ISSUED,,,,,,
BAHAU LOCAL COUNCIL,KAMPONG CHINA WARD,TOTAL ELECTORATE,,,,613,,
BAHAU LOCAL COUNCIL,KAMPONG CHINA WARD,TURNOUT (%),,,,75.26,,
BAHAU LOCAL COUNCIL,BAKAR BATU WARD,ALLIANCE - MCA,LIEW KIM FOOK,,,288,LOST,
BAHAU LOCAL COUNCIL,BAKAR BATU WARD,ALLIANCE - MCA,CHIA YING SAM,,,282,LOST,
BAHAU LOCAL COUNCIL,BAKAR BATU WARD,ALLIANCE - MCA,YAP SWEE PIN,,,276,LOST,
BAHAU LOCAL COUNCIL,BAKAR BATU WARD,SF,LEE THIAM,,,416,WON,
BAHAU LOCAL COUNCIL,BAKAR BATU WARD,SF,LAI SEE CHONG,,,411,WON,
BAHAU LOCAL COUNCIL,BAKAR BATU WARD,SF,KOW CHAI,,,399,WON,
BAHAU LOCAL COUNCIL,BAKAR BATU WARD,REJECTED BALLOT PAPERS,,,,29,,
BAHAU LOCAL COUNCIL,BAKAR BATU WARD,TOTAL BALLOTS ISSUED,,,,,,
BAHAU LOCAL COUNCIL,BAKAR BATU WARD,TOTAL ELECTORATE,,,,916,,
BAHAU LOCAL COUNCIL,BAKAR BATU WARD,TURNOUT (%),,,,78.73,,
MANTIN LOCAL COUNCIL,BATU SABELAS WARD,INDEPENDENT,CHIN CHEONG KWEE,,,148,WON,
MANTIN LOCAL COUNCIL,BATU SABELAS WARD,ALLIANCE - MCA,ONG CHIN YEN,,,157,WON,
MANTIN LOCAL COUNCIL,BATU SABELAS WARD,ALLIANCE - MCA,THANG SWEE SANG,,,132,WON,
MANTIN LOCAL COUNCIL,BATU SABELAS WARD,INDEPENDENT,HO HON,,,56,LOST,
MANTIN LOCAL COUNCIL,BATU SABELAS WARD,ALLIANCE - MCA,LOO KHEE FONG,,,123,LOST,
MANTIN LOCAL COUNCIL,BATU SABELAS WARD,REJECTED BALLOT PAPERS,,,,15,,
MANTIN LOCAL COUNCIL,BATU SABELAS WARD,TOTAL BALLOTS ISSUED,,,,,,
MANTIN LOCAL COUNCIL,BATU SABELAS WARD,TOTAL ELECTORATE,,,,446,,
MANTIN LOCAL COUNCIL,BATU SABELAS WARD,TURNOUT (%),,,,47.16,,
MANTIN LOCAL COUNCIL,KAMPONG BAHRU MANTIN WARD,ALLIANCE - MCA,CHONG CHIN LAIONG,,,189,WON,
MANTIN LOCAL COUNCIL,KAMPONG BAHRU MANTIN WARD,ALLIANCE - MCA,CHOW SEONG,,,176,WON,
MANTIN LOCAL COUNCIL,KAMPONG BAHRU MANTIN WARD,SF,CHONG SAT KOW,,,196,WON,
MANTIN LOCAL COUNCIL,KAMPONG BAHRU MANTIN WARD,SF,WONG SANG,,,171,LOST,
MANTIN LOCAL COUNCIL,KAMPONG BAHRU MANTIN WARD,ALLIANCE - MCA,LIM SEEK LIN,,,146,LOST,
MANTIN LOCAL COUNCIL,KAMPONG BAHRU MANTIN WARD,REJECTED BALLOT PAPERS,,,,9,,
MANTIN LOCAL COUNCIL,KAMPONG BAHRU MANTIN WARD,TOTAL BALLOTS ISSUED,,,,,,
MANTIN LOCAL COUNCIL,KAMPONG BAHRU MANTIN WARD,TOTAL ELECTORATE,,,,541,,
MANTIN LOCAL COUNCIL,KAMPONG BAHRU MANTIN WARD,TURNOUT (%),,,,54.65,,
MANTIN LOCAL COUNCIL,PEKAN MANTIN WARD,ALLIANCE - MCA,LAI LOY,,,217,LOST,
MANTIN LOCAL COUNCIL,PEKAN MANTIN WARD,SF,LEE LAI HOW,,,279,WON,
MANTIN LOCAL COUNCIL,PEKAN MANTIN WARD,ALLIANCE - MCA,CHEE POH,,,218,WON,
MANTIN LOCAL COUNCIL,PEKAN MANTIN WARD,SF,YAP YING,,,236,WON,
MANTIN LOCAL COUNCIL,PEKAN MANTIN WARD,ALLIANCE - MCA,LEE WAH FOO,,,191,LOST,
MANTIN LOCAL COUNCIL,PEKAN MANTIN WARD,REJECTED BALLOT PAPERS,,,,12,,
MANTIN LOCAL COUNCIL,PEKAN MANTIN WARD,TOTAL BALLOTS ISSUED,,,,,,
MANTIN LOCAL COUNCIL,PEKAN MANTIN WARD,TOTAL ELECTORATE,,,,737,,
MANTIN LOCAL COUNCIL,PEKAN MANTIN WARD,TURNOUT (%),,,,52.15,,
MANTIN LOCAL COUNCIL,KAMPONG HAKKA WARD,INDEPENDENT,CHOW THEN LOY,,,124,LOST,
MANTIN LOCAL COUNCIL,KAMPONG HAKKA WARD,ALLIANCE - MCA,LAI KEE,,,72,LOST,
MANTIN LOCAL COUNCIL,KAMPONG HAKKA WARD,INDEPENDENT,CHONG FOOK,,,210,WON,
MANTIN LOCAL COUNCIL,KAMPONG HAKKA WARD,ALLIANCE - MCA,ANG THONG FONG,,,63,LOST,
MANTIN LOCAL COUNCIL,KAMPONG HAKKA WARD,SF,TIAW FOONG,,,204,WON,
MANTIN LOCAL COUNCIL,KAMPONG HAKKA WARD,ALLIANCE - MCA,LOH CHOON SUN,,,66,LOST,
MANTIN LOCAL COUNCIL,KAMPONG HAKKA WARD,INDEPENDENT,KWAN LAN,,,161,WON,
MANTIN LOCAL COUNCIL,KAMPONG HAKKA WARD,REJECTED BALLOT PAPERS,,,,7,,
MANTIN LOCAL COUNCIL,KAMPONG HAKKA WARD,TOTAL BALLOTS ISSUED,,,,,,
MANTIN LOCAL COUNCIL,KAMPONG HAKKA WARD,TOTAL ELECTORATE,,,,520,,
MANTIN LOCAL COUNCIL,KAMPONG HAKKA WARD,TURNOUT (%),,,,58.14,,
PAJAM LOCAL COUNCIL,PEKAN PAJAM WARD,ALLIANCE - MCA,KOW BOOK SWEE,,,85,WON,
PAJAM LOCAL COUNCIL,PEKAN PAJAM WARD,SF,WONG KEE,,,51,LOST,
PAJAM LOCAL COUNCIL,PEKAN PAJAM WARD,ALLIANCE - MIC,A. MOOKAPILLAI,MALE,,84,WON,
PAJAM LOCAL COUNCIL,PEKAN PAJAM WARD,ALLIANCE - MCA,YEE FOOK CHIOW,,,85,WON,
PAJAM LOCAL COUNCIL,PEKAN PAJAM WARD,SF,KONG SENG,,,52,LOST,
PAJAM LOCAL COUNCIL,PEKAN PAJAM WARD,SF,PANG FOOK,,,51,LOST,
PAJAM LOCAL COUNCIL,PEKAN PAJAM WARD,REJECTED BALLOT PAPERS,,,,12,,
PAJAM LOCAL COUNCIL,PEKAN PAJAM WARD,TOTAL BALLOTS ISSUED,,,,,,
PAJAM LOCAL COUNCIL,PEKAN PAJAM WARD,TOTAL ELECTORATE,,,,168,,
PAJAM LOCAL COUNCIL,PEKAN PAJAM WARD,TURNOUT (%),,,,83.33,,
PAJAM LOCAL COUNCIL,PAJAM TENGAH WARD,SF,TAN TAM YEW,,,94,LOST,
PAJAM LOCAL COUNCIL,PAJAM TENGAH WARD,ALLIANCE - MCA,WONG HING,,,104,WON,
PAJAM LOCAL COUNCIL,PAJAM TENGAH WARD,ALLIANCE - MCA,YIN KONG,,,104,WON,
PAJAM LOCAL COUNCIL,PAJAM TENGAH WARD,SF,PANG WING,,,97,LOST,
PAJAM LOCAL COUNCIL,PAJAM TENGAH WARD,ALLIANCE - MCA,WONG TAM,,,103,WON,
PAJAM LOCAL COUNCIL,PAJAM TENGAH WARD,SF,CHONG HIN,,,96,LOST,
PAJAM LOCAL COUNCIL,PAJAM TENGAH WARD,REJECTED BALLOT PAPERS,,,,3,,
PAJAM LOCAL COUNCIL,PAJAM TENGAH WARD,TOTAL BALLOTS ISSUED,,,,,,
PAJAM LOCAL COUNCIL,PAJAM TENGAH WARD,TOTAL ELECTORATE,,,,216,,
PAJAM LOCAL COUNCIL,PAJAM TENGAH WARD,TURNOUT (%),,,,92.75,,
PAJAM LOCAL COUNCIL,KAMPONG KHEH WARD,SF,CHONG KIM CHEN,,,63,WON,
PAJAM LOCAL COUNCIL,KAMPONG KHEH WARD,ALLIANCE - MCA,LO KU MU,,,37,LOST,
PAJAM LOCAL COUNCIL,KAMPONG KHEH WARD,ALLIANCE - MCA,TOONG HING,,,37,LOST,
PAJAM LOCAL COUNCIL,KAMPONG KHEH WARD,SF,LEE SIN YIN,,,62,WON,
PAJAM LOCAL COUNCIL,KAMPONG KHEH WARD,ALLIANCE - MCA,CHONG TEIM,,,37,LOST,
PAJAM LOCAL COUNCIL,KAMPONG KHEH WARD,SF,CHOK PING,,,62,WON,
PAJAM LOCAL COUNCIL,KAMPONG KHEH WARD,REJECTED BALLOT PAPERS,,,,3,,
PAJAM LOCAL COUNCIL,KAMPONG KHEH WARD,TOTAL BALLOTS ISSUED,,,,,,
PAJAM LOCAL COUNCIL,KAMPONG KHEH WARD,TOTAL ELECTORATE,,,,114,,
PAJAM LOCAL COUNCIL,KAMPONG KHEH WARD,TURNOUT (%),,,,88,,
MAMBAU LOCAL COUNCIL,MAMBAU UTARA WARD,ALLIANCE - MCA,CHAY AH CHEONG,,,121,WON,
MAMBAU LOCAL COUNCIL,MAMBAU UTARA WARD,INDEPENDENT,SEAH HWA SHEN,,,42,LOST,
MAMBAU LOCAL COUNCIL,MAMBAU UTARA WARD,SF,THIN FOO YIN,,,28,LOST,
MAMBAU LOCAL COUNCIL,MAMBAU UTARA WARD,ALLIANCE - MCA,YAP CHAN,,,125,WON,
MAMBAU LOCAL COUNCIL,MAMBAU UTARA WARD,ALLIANCE - MCA,CHIA SIEW,,,121,WON,
MAMBAU LOCAL COUNCIL,MAMBAU UTARA WARD,REJECTED BALLOT PAPERS,,,,6,,
MAMBAU LOCAL COUNCIL,MAMBAU UTARA WARD,TOTAL BALLOTS ISSUED,,,,,,
MAMBAU LOCAL COUNCIL,MAMBAU UTARA WARD,TOTAL ELECTORATE,,,,197,,
MAMBAU LOCAL COUNCIL,MAMBAU UTARA WARD,TURNOUT (%),,,,74.96,,
MAMBAU LOCAL COUNCIL,MAMBAU TENGAH WARD,INDEPENDENT,CHIA NANG SANG,,,43,LOST,
MAMBAU LOCAL COUNCIL,MAMBAU TENGAH WARD,ALLIANCE - MCA,WONG THYE SOO,,,132,WON,
MAMBAU LOCAL COUNCIL,MAMBAU TENGAH WARD,ALLIANCE - MCA,CHAY WAH,,,123,WON,
MAMBAU LOCAL COUNCIL,MAMBAU TENGAH WARD,ALLIANCE - MCA,HU YAN,,,119,WON,
MAMBAU LOCAL COUNCIL,MAMBAU TENGAH WARD,REJECTED BALLOT PAPERS,,,,3,,
MAMBAU LOCAL COUNCIL,MAMBAU TENGAH WARD,TOTAL BALLOTS ISSUED,,,,,,
MAMBAU LOCAL COUNCIL,MAMBAU TENGAH WARD,TOTAL ELECTORATE,,,,225,,
MAMBAU LOCAL COUNCIL,MAMBAU TENGAH WARD,TURNOUT (%),,,,61.87,,
MAMBAU LOCAL COUNCIL,MAMBAU SELATAN WARD,SF,WONG HWA,,,55,LOST,
MAMBAU LOCAL COUNCIL,MAMBAU SELATAN WARD,ALLIANCE - MCA,TAN KOW,,,132,WON,
MAMBAU LOCAL COUNCIL,MAMBAU SELATAN WARD,SF,LEOW KUAN CHONG,,,62,LOST,
MAMBAU LOCAL COUNCIL,MAMBAU SELATAN WARD,ALLIANCE - MCA,CHAN YIP WENG,,,125,WON,
MAMBAU LOCAL COUNCIL,MAMBAU SELATAN WARD,ALLIANCE - MCA,TAN JAN,,,127,WON,
MAMBAU LOCAL COUNCIL,MAMBAU SELATAN WARD,REJECTED BALLOT PAPERS,,,,10,,
MAMBAU LOCAL COUNCIL,MAMBAU SELATAN WARD,TOTAL BALLOTS ISSUED,,,,,,
MAMBAU LOCAL COUNCIL,MAMBAU SELATAN WARD,TOTAL ELECTORATE,,,,227,,
MAMBAU LOCAL COUNCIL,MAMBAU SELATAN WARD,TURNOUT (%),,,,75,,
JIMAH LOCAL COUNCIL,CHUAH AREA WARD,ALLIANCE - MCA,NG KIM CHONG,,,,WON,Y
JIMAH LOCAL COUNCIL,CHUAH AREA WARD,ALLIANCE - UMNO,ABDUL BIN AHMAD,MALE,,,WON,Y
JIMAH LOCAL COUNCIL,CHUAH AREA WARD,ALLIANCE - UMNO,ABDUL RAHMAN BIN MAHMUD,MALE,,,WON,Y
JIMAH LOCAL COUNCIL,CHUAH AREA WARD,REJECTED BALLOT PAPERS,,,,,,
JIMAH LOCAL COUNCIL,CHUAH AREA WARD,TOTAL BALLOTS ISSUED,,,,,,
JIMAH LOCAL COUNCIL,CHUAH AREA WARD,TOTAL ELECTORATE,,,,,,
JIMAH LOCAL COUNCIL,CHUAH AREA WARD,TURNOUT (%),,,,,,
JIMAH LOCAL COUNCIL,BUKIT PELANDOK WARD,ALLIANCE - MCA,NG KIOK SIONG,,,,WON,Y
JIMAH LOCAL COUNCIL,BUKIT PELANDOK WARD,ALLIANCE - MCA,TAN HAH,,,,WON,Y
JIMAH LOCAL COUNCIL,BUKIT PELANDOK WARD,ALLIANCE - MCA,LIM SENG HOE,,,,WON,Y
JIMAH LOCAL COUNCIL,BUKIT PELANDOK WARD,REJECTED BALLOT PAPERS,,,,,,
