UNIQUE ID,LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY,NOMINATION DATE,POLLING DATE
1963SIDC7,SIPITANG DISTRICT COUNCIL,MESAPOL URBAN,TOTAL BALLOTS ISSUED,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC8,SIPITANG DISTRICT COUNCIL,MESAPOL URBAN,TOTAL ELECTORATE,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC9,SIPITANG DISTRICT COUNCIL,MESAPOL URBAN,TURNOUT (%),,,,80,,,11 FEB 1963,3 MAR 1963
1963SIDC10,SIPITANG DISTRICT COUNCIL,MESAPOL RURAL,USNO,PENGIRRAN BUJANG BIN PENGGIRAN DAMIT,MALE,,385,WON,,11 FEB 1963,3 MAR 1963
1963SIDC11,SIPITANG DISTRICT COUNCIL,MESAPOL RURAL,INDEPENDENT,PHILIP CHUNG,MALE,,81,LOST,,11 FEB 1963,3 MAR 1963
1963SIDC12,SIPITANG DISTRICT COUNCIL,MESAPOL RURAL,SPOILT BALLOT PAPERS,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC13,SIPITANG DISTRICT COUNCIL,MESAPOL RURAL,TOTAL BALLOTS ISSUED,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC14,SIPITANG DISTRICT COUNCIL,MESAPOL RURAL,TOTAL ELECTORATE,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC15,SIPITANG DISTRICT COUNCIL,MESAPOL RURAL,TURNOUT (%),,,,67,,,11 FEB 1963,3 MAR 1963
1963SIDC16,SIPITANG DISTRICT COUNCIL,SINDUMIN,USNO,HAJI ABDUL RASHID BIN HAJI JAIS,MALE,,190,WON,,11 FEB 1963,3 MAR 1963
1963SIDC17,SIPITANG DISTRICT COUNCIL,SINDUMIN,PM,O. T. POUR SIA,,,128,LOST,,11 FEB 1963,3 MAR 1963
1963SIDC18,SIPITANG DISTRICT COUNCIL,SINDUMIN,SPOILT BALLOT PAPERS,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC19,SIPITANG DISTRICT COUNCIL,SINDUMIN,TOTAL BALLOTS ISSUED,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC20,SIPITANG DISTRICT COUNCIL,SINDUMIN,TOTAL ELECTORATE,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC21,SIPITANG DISTRICT COUNCIL,SINDUMIN,TURNOUT (%),,,,85,,,11 FEB 1963,3 MAR 1963
1963SIDC22,SIPITANG DISTRICT COUNCIL,MENDULONG,PM,KOK BABI BIN KOK CHIN MING,MALE,,,WON,,11 FEB 1963,3 MAR 1963
1963SIDC23,SIPITANG DISTRICT COUNCIL,MENDULONG,USNO,SISAU BIN DARU,MALE,,,LOST,,11 FEB 1963,3 MAR 1963
1963SIDC24,SIPITANG DISTRICT COUNCIL,MENDULONG,SPOILT BALLOT PAPERS,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC25,SIPITANG DISTRICT COUNCIL,MENDULONG,TOTAL BALLOTS ISSUED,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC26,SIPITANG DISTRICT COUNCIL,MENDULONG,TOTAL ELECTORATE,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC27,SIPITANG DISTRICT COUNCIL,MENDULONG,TURNOUT (%),,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC28,SIPITANG DISTRICT COUNCIL,PANTAI,USNO,CHUA LUNG LIAU,,,349,WON,,11 FEB 1963,3 MAR 1963
1963SIDC29,SIPITANG DISTRICT COUNCIL,PANTAI,PM,PAKER BIN HAJI BASIR,MALE,,59,LOST,,11 FEB 1963,3 MAR 1963
1963SIDC30,SIPITANG DISTRICT COUNCIL,PANTAI,SPOILT BALLOT PAPERS,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC31,SIPITANG DISTRICT COUNCIL,PANTAI,TOTAL BALLOTS ISSUED,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC32,SIPITANG DISTRICT COUNCIL,PANTAI,TOTAL ELECTORATE,,,,,,,11 FEB 1963,3 MAR 1963
1963SIDC33,SIPITANG DISTRICT COUNCIL,PANTAI,TURNOUT (%),,,,78,,,11 FEB 1963,3 MAR 1963
1963KPDC1,KUALA PENYU DISTRICT COUNCIL,BUNDU,UNKO,GEORGE ANGANG,MALE,,,WON,Y,8 APR 1963,UNCONTESTED
1963KPDC2,KUALA PENYU DISTRICT COUNCIL,KARUKAN,USNO,HAJI MASTO BIN HAJI AHMAD,MALE,,,WON,Y,8 APR 1963,UNCONTESTED
1963KPDC3,KUALA PENYU DISTRICT COUNCIL,KUALA PENYU,PM,BULLANGANG BIN TUMBOK,MALE,,361,WON,,8 APR 1963,28 APR 1963
1963KPDC4,KUALA PENYU DISTRICT COUNCIL,KUALA PENYU,USNO,OTHMAN BIN YUSOF,MALE,,281,LOST,,8 APR 1963,28 APR 1963
1963KPDC5,KUALA PENYU DISTRICT COUNCIL,KUALA PENYU,SPOILT BALLOT PAPERS,,,,,,,8 APR 1963,28 APR 1963
1963KPDC6,KUALA PENYU DISTRICT COUNCIL,KUALA PENYU,TOTAL BALLOTS ISSUED,,,,,,,8 APR 1963,28 APR 1963
1963KPDC7,KUALA PENYU DISTRICT COUNCIL,KUALA PENYU,TOTAL ELECTORATE,,,,,,,8 APR 1963,28 APR 1963
1963KPDC8,KUALA PENYU DISTRICT COUNCIL,KUALA PENYU,TURNOUT (%),,,,,,,8 APR 1963,28 APR 1963
1963KPDC9,KUALA PENYU DISTRICT COUNCIL,MELAMPAI,PM,PAGANG BIN ISSING,MALE,,135,WON,,8 APR 1963,28 APR 1963
1963KPDC10,KUALA PENYU DISTRICT COUNCIL,MELAMPAI,UNKO,MASRI BIN TALIPIN,MALE,,62,LOST,,8 APR 1963,28 APR 1963
1963KPDC11,KUALA PENYU DISTRICT COUNCIL,MELAMPAI,SPOILT BALLOT PAPERS,,,,,,,8 APR 1963,28 APR 1963
1963KPDC12,KUALA PENYU DISTRICT COUNCIL,MELAMPAI,TOTAL BALLOTS ISSUED,,,,,,,8 APR 1963,28 APR 1963
1963KPDC13,KUALA PENYU DISTRICT COUNCIL,MELAMPAI,TOTAL ELECTORATE,,,,,,,8 APR 1963,28 APR 1963
1963KPDC14,KUALA PENYU DISTRICT COUNCIL,MELAMPAI,TURNOUT (%),,,,,,,8 APR 1963,28 APR 1963
1963KPDC15,KUALA PENYU DISTRICT COUNCIL,TINAMBAK,UNKO,WONG FOOK SIANG,MALE,,187,WON,,8 APR 1963,28 APR 1963
1963KPDC16,KUALA PENYU DISTRICT COUNCIL,TINAMBAK,USNO,MAIDIN BUN DAUD,MALE,,121,LOST,,8 APR 1963,28 APR 1963
1963KPDC17,KUALA PENYU DISTRICT COUNCIL,TINAMBAK,SPOILT BALLOT PAPERS,,,,,,,8 APR 1963,28 APR 1963
1963KPDC18,KUALA PENYU DISTRICT COUNCIL,TINAMBAK,TOTAL BALLOTS ISSUED,,,,,,,8 APR 1963,28 APR 1963
1963KPDC19,KUALA PENYU DISTRICT COUNCIL,TINAMBAK,TOTAL ELECTORATE,,,,,,,8 APR 1963,28 APR 1963
1963KPDC20,KUALA PENYU DISTRICT COUNCIL,TINAMBAK,TURNOUT (%),,,,,,,8 APR 1963,28 APR 1963
1963KPDC21,KUALA PENYU DISTRICT COUNCIL,TEMPULONG,PM,JAGAR BIN TUMBOK,MALE,,131,WON,,8 APR 1963,28 APR 1963
1963KPDC22,KUALA PENYU DISTRICT COUNCIL,TEMPULONG,UNKO,JIPIN BIN ANJIM,MALE,,108,LOST,,8 APR 1963,28 APR 1963
1963KPDC23,KUALA PENYU DISTRICT COUNCIL,TEMPULONG,USNO,DULLAH BIN LADIS,MALE,,92,LOST,,8 APR 1963,28 APR 1963
1963KPDC24,KUALA PENYU DISTRICT COUNCIL,TEMPULONG,SPOILT BALLOT PAPERS,,,,,,,8 APR 1963,28 APR 1963
1963KPDC25,KUALA PENYU DISTRICT COUNCIL,TEMPULONG,TOTAL BALLOTS ISSUED,,,,,,,8 APR 1963,28 APR 1963
1963KPDC26,KUALA PENYU DISTRICT COUNCIL,TEMPULONG,TOTAL ELECTORATE,,,,,,,8 APR 1963,28 APR 1963
1963KPDC27,KUALA PENYU DISTRICT COUNCIL,TEMPULONG,TURNOUT (%),,,,,,,8 APR 1963,28 APR 1963
1963TADC1,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN SOUTH,UNKO,ABBIE BASINAU,MALE,,,WON,Y,8 APR 1963,UNCONTESTED
1963TADC2,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN KINABAAN,UNKO,SANAP BIN BANTASON,MALE,,,WON,Y,8 APR 1963,UNCONTESTED
1963TADC3,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN NORTH EAST,UNKO,AMBOU BIN INGGAL,MALE,,,WON,Y,8 APR 1963,UNCONTESTED
1963TADC4,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN,UNKO,ANTHONY GIBON,MALE,,396,WON,,8 APR 1963,28 APR 1963
1963TADC5,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN,PM,ETAH BIN KADUOI,MALE,,97,LOST,,8 APR 1963,28 APR 1963
1963TADC6,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN,SPOILT BALLOT PAPERS,,,,,,,8 APR 1963,28 APR 1963
1963TADC7,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN,TOTAL BALLOTS ISSUED,,,,,,,8 APR 1963,28 APR 1963
1963TADC8,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN,TOTAL ELECTORATE,,,,,,,8 APR 1963,28 APR 1963
1963TADC9,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN,TURNOUT (%),,,,,,,8 APR 1963,28 APR 1963
1963TADC10,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN TOBOH,UNKO,PHILIP GAMIN,MALE,,502,WON,,8 APR 1963,28 APR 1963
1963TADC11,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN TOBOH,PM,JOSEPH PODTUNG,MALE,,103,LOST,,8 APR 1963,28 APR 1963
1963TADC12,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN TOBOH,SPOILT BALLOT PAPERS,,,,,,,8 APR 1963,28 APR 1963
1963TADC13,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN TOBOH,TOTAL BALLOTS ISSUED,,,,,,,8 APR 1963,28 APR 1963
1963TADC14,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN TOBOH,TOTAL ELECTORATE,,,,,,,8 APR 1963,28 APR 1963
1963TADC15,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN TOBOH,TURNOUT (%),,,,,,,8 APR 1963,28 APR 1963
1963TADC16,TAMBUNAN DISTRICT COUNCIL,TAMBUNAN NORTH,UNKO,(MISSING INFORMATION),,,,WON,,8 APR 1963,28 APR 1963
1963RDC1,RANAU DISTRICT COUNCIL,RANAU TOWN,UNKO,GANIE GILONG,MALE,,169,WON,,15 APR 1963,5 MAY 1963
1963RDC2,RANAU DISTRICT COUNCIL,RANAU TOWN,PM,LEE SAU NAM BIN LEE AH SAM,MALE,,140,LOST,,15 APR 1963,5 MAY 1963
1963RDC3,RANAU DISTRICT COUNCIL,RANAU TOWN,USNO,JANI BIN ALI,MALE,,118,LOST,,15 APR 1963,5 MAY 1963
1963RDC4,RANAU DISTRICT COUNCIL,RANAU TOWN,SPOILT BALLOT PAPERS,,,,6,,,15 APR 1963,5 MAY 1963
1963RDC5,RANAU DISTRICT COUNCIL,RANAU TOWN,TOTAL BALLOTS ISSUED,,,,433,,,15 APR 1963,5 MAY 1963
1963RDC6,RANAU DISTRICT COUNCIL,RANAU TOWN,TOTAL ELECTORATE,,,,438,,,15 APR 1963,5 MAY 1963
1963RDC7,RANAU DISTRICT COUNCIL,RANAU TOWN,TURNOUT (%),,,,98.9,,,15 APR 1963,5 MAY 1963
1963RDC8,RANAU DISTRICT COUNCIL,LIWAGU,USNO,ABDUL GHANI BIN AHMAD,MALE,,569,WON,,15 APR 1963,5 MAY 1963
1963RDC9,RANAU DISTRICT COUNCIL,LIWAGU,UNKO,UDIN BIN JAHALI,MALE,,391,LOST,,15 APR 1963,5 MAY 1963
1963RDC10,RANAU DISTRICT COUNCIL,LIWAGU,SPOILT BALLOT PAPERS,,,,,,,15 APR 1963,5 MAY 1963
1963RDC11,RANAU DISTRICT COUNCIL,LIWAGU,TOTAL BALLOTS ISSUED,,,,,,,15 APR 1963,5 MAY 1963
1963RDC12,RANAU DISTRICT COUNCIL,LIWAGU,TOTAL ELECTORATE,,,,,,,15 APR 1963,5 MAY 1963
1963RDC13,RANAU DISTRICT COUNCIL,LIWAGU,TURNOUT (%),,,,,,,15 APR 1963,5 MAY 1963
1963RDC14,RANAU DISTRICT COUNCIL,BUNDU TUHAN,USNO,ALI BIN KANDALIS,MALE,,702,WON,,15 APR 1963,5 MAY 1963
1963RDC15,RANAU DISTRICT COUNCIL,BUNDU TUHAN,UNKO,GISLI BIN KOTING,MALE,,435,LOST,,15 APR 1963,5 MAY 1963
1963RDC16,RANAU DISTRICT COUNCIL,BUNDU TUHAN,PM,MASRY RANTO LAWRENCE,,,136,LOST,,15 APR 1963,5 MAY 1963
1963RDC17,RANAU DISTRICT COUNCIL,BUNDU TUHAN,SPOILT BALLOT PAPERS,,,,16,,,15 APR 1963,5 MAY 1963
1963RDC18,RANAU DISTRICT COUNCIL,BUNDU TUHAN,TOTAL BALLOTS ISSUED,,,,1289,,,15 APR 1963,5 MAY 1963
1963RDC19,RANAU DISTRICT COUNCIL,BUNDU TUHAN,TOTAL ELECTORATE,,,,1331,,,15 APR 1963,5 MAY 1963
1963RDC20,RANAU DISTRICT COUNCIL,BUNDU TUHAN,TURNOUT (%),,,,,,,15 APR 1963,5 MAY 1963
1963RDC21,RANAU DISTRICT COUNCIL,PAGINATAN,UNKO,MAJANGKI BIN DUNGGOK,MALE,,511,WON,,15 APR 1963,5 MAY 1963
1963RDC22,RANAU DISTRICT COUNCIL,PAGINATAN,PM,BASIAU BIN BOLINGI,MALE,,49,LOST,,15 APR 1963,5 MAY 1963
1963RDC23,RANAU DISTRICT COUNCIL,PAGINATAN,SPOILT BALLOT PAPERS,,,,7,,,15 APR 1963,5 MAY 1963
1963RDC24,RANAU DISTRICT COUNCIL,PAGINATAN,TOTAL BALLOTS ISSUED,,,,567,,,15 APR 1963,5 MAY 1963
1963RDC25,RANAU DISTRICT COUNCIL,PAGINATAN,TOTAL ELECTORATE,,,,704,,,15 APR 1963,5 MAY 1963
1963RDC26,RANAU DISTRICT COUNCIL,PAGINATAN,TURNOUT (%),,,,80.5,,,15 APR 1963,5 MAY 1963
1963RDC27,RANAU DISTRICT COUNCIL,PERANCHANGAN,UNKO,SALIUN BIN GADDUYA,MALE,,600,WON,,15 APR 1963,5 MAY 1963
1963RDC28,RANAU DISTRICT COUNCIL,PERANCHANGAN,USNO,DAUD BIN BARINGKOK,MALE,,573,LOST,,15 APR 1963,5 MAY 1963
1963RDC29,RANAU DISTRICT COUNCIL,PERANCHANGAN,PM,KANDILAU BIN KUMBILAL,MALE,,179,LOST,,15 APR 1963,5 MAY 1963
1963RDC30,RANAU DISTRICT COUNCIL,PERANCHANGAN,SPOILT BALLOT PAPERS,,,,13,,,15 APR 1963,5 MAY 1963
1963RDC31,RANAU DISTRICT COUNCIL,PERANCHANGAN,TOTAL BALLOTS ISSUED,,,,1365,,,15 APR 1963,5 MAY 1963
1963RDC32,RANAU DISTRICT COUNCIL,PERANCHANGAN,TOTAL ELECTORATE,,,,1408,,,15 APR 1963,5 MAY 1963
1963RDC33,RANAU DISTRICT COUNCIL,PERANCHANGAN,TURNOUT (%),,,,96.9,,,15 APR 1963,5 MAY 1963
1963RDC34,RANAU DISTRICT COUNCIL,RONDOGONG,UNKO,(MISSING INFORMATION),,,,WON,,15 APR 1963,5 MAY 1963
