LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,1049,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOKS,,,549,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL SPOILED BALLOT PAPERS,,,2,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,1600,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL ELECTORS,,,1191,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,UMNO - MCA,LIM EWE LAW,,,545,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,INDEPENDENT,STANLEY PONNIAH,MALE,,500,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,UMNO - MCA,M. HANIFAH,MALE,,379,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,UMNO - MCA,YUSOF IBRAHIM,MALE,,302,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,LABOUR,MANIAM,MALE,,226,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,INDEPENDENT,M. VALLIPURAM,MALE,,128,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL REJECTED BALLOT PAPERS,,,19,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,939,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOKS,,,658,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL SPOILED BALLOT PAPERS,,,3,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL BALLOT PAPERS RECEIVED FROM RETURNING OFFICER,,,1600,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL ELECTORS,,,1121,,
